age,height,hhincome,female
75,1.6256,703.5,1
74,1.8034,12.0,0
58,1.5494,11.88012,1
68,1.651,19.2,1
76,1.7272,15.276,0
66,1.5748,30.401,1
77,1.7526,129.78,0
71,1.6764,129.78,1
72,1.6002,115.328,1
78,1.6764,819.7,1
86,1.905,819.7,0
76,1.6002,9.156,1
77,1.5748,16.08,1
67,1.524,18.0,1
82,1.6764,51.68,1
83,1.7272,58.84,0
81,1.5494,58.84,1
85,1.6002,105.2,0
81,1.6256,9.66,1
75,1.6256,11.1,0
79,1.6002,6.792,1
76,1.6764,16.4,1
79,1.7018,16.4,0
73,1.778,20.544,0
62,1.524,0.0,1
74,1.6256,44.46,1
78,1.4986,13.0,1
76,1.7272,11.2,1
73,1.8288,209.2,0
74,1.6002,21.468,1
80,1.6764,15.38955872,1
76,1.524,72.024,1
74,1.651,72.024,0
80,1.6256,30.72155087,1
82,1.8288,30.72155087,0
75,1.778,79.356,0
70,1.5875,79.356,1
82,1.524,17.92,1
76,1.6256,38.13617844,0
76,1.4986,38.13617844,1
73,1.7272,106.164,0
73,1.5748,106.164,1
72,1.4478,10.8,1
82,1.6891,54.38206196,0
76,1.5748,18.36,1
82,1.6764,18.36,0
81,1.7653,18.78414493,0
73,1.5748,24.096,1
74,1.5748,35.34,1
77,1.6764,12.6,1
72,1.651,19.13988466,1
67,1.72085,57.26436,1
73,1.778,16.8,0
73,1.6002,16.8,1
69,1.5748,41.58473259,1
73,1.5875,0.0,1
67,1.778,15.852,1
77,1.6764,14.322,1
82,1.651,8.832,0
58,1.6256,90.12,1
76,1.6002,73.56,1
85,1.6764,73.56,0
76,1.7272,18.404,0
65,1.6256,18.404,1
73,1.7018,124.9,0
67,1.651,124.9,1
74,1.7018,119.82,1
75,1.6764,10.6,1
76,1.6002,8.9,1
72,1.6002,413.204,1
74,1.5494,38.344,1
78,1.778,34.548,0
73,1.5748,34.548,1
75,1.6256,42.676,1
72,1.7653,42.676,0
81,1.5748,28.15618243,1
78,1.7526,28.15618243,0
80,1.7526,204.4168376,1
81,1.8542,204.4168376,0
77,1.5748,34.512,1
78,1.6764,34.512,0
83,1.6764,0.012,0
76,1.524,0.012,1
79,1.6256,11.736,1
75,1.651,14.192,1
75,1.651,10.848,1
72,1.8288,50.236,0
67,1.5748,50.236,1
77,1.6764,15.7933445,1
82,1.778,73.708,0
73,1.6256,73.708,1
80,1.6002,19.2,1
75,1.5113,54.06,1
74,1.6256,45.21165804,0
74,1.5494,45.21165804,1
83,1.7018,64.044,1
88,1.7018,64.044,0
81,1.7907,58.771,0
79,1.6764,58.771,1
74,1.6637,29.352,0
68,1.524,29.352,1
77,1.7018,33.18,0
73,1.5748,14.508,1
83,1.5748,12.36,1
81,1.6256,12.18471032,1
61,1.5748,6.48,1
82,1.8542,7.2,1
53,1.6764,52.092,1
73,1.651,41.325,1
81,1.5494,17.341,1
81,1.8034,42.04,0
81,1.8542,26.287,0
79,1.524,15.732,1
86,1.7272,42.6,0
73,1.8034,85.05096,0
74,1.8288,66.14081111,0
73,1.7018,102.38,0
55,1.7018,102.38,1
75,1.7272,21.768,0
65,1.7018,21.768,1
85,1.5748,36.544,0
84,1.4732,42.012,1
82,1.524,19.794,1
81,1.6129,19.668,1
76,1.524,28.90827587,1
78,1.778,28.90827587,0
75,1.6891,17.136,0
75,1.8542,19.56,0
72,1.651,18.96,1
76,1.6256,18.0,1
79,1.7018,75.12616178,0
57,1.7018,75.12616178,1
76,1.8542,40.34702371,0
75,1.7272,19.8,0
65,1.8034,26.232,0
77,1.8542,84.28913181,0
78,1.651,43.0,0
75,1.5494,43.0,1
82,1.6256,16.248,1
76,1.4986,16.872,1
72,1.778,11.076,0
66,1.6891,11.01,1
78,1.778,29.4,0
68,1.7018,29.4,1
65,1.4986,10.46356648,1
74,1.778,89.53677384,0
66,1.651,89.53677384,1
79,1.524,15.6,1
73,1.5621,36.241,1
74,1.5748,20.724,1
76,1.5494,17.208,1
78,1.5748,11.04,1
70,1.7526,62.32119466,0
81,1.6764,134.0,0
72,1.6002,134.0,1
77,1.7272,48.49236,0
77,1.6256,48.49236,1
80,1.6002,37.2,1
74,1.7272,85.416,1
86,1.7272,85.416,0
73,1.8034,47.586,0
72,1.5621,14.544,1
83,1.778,18.168,1
76,1.6764,13.212,0
71,1.6256,10.68,1
78,1.6256,15.768,1
65,1.6002,40.668,1
94,1.7526,20.076,0
76,1.6764,32.95394755,0
72,1.6764,32.95394755,1
81,1.4986,87.888,1
88,1.6764,87.888,0
82,1.6764,15.804,1
75,1.6764,23.0,1
81,1.5748,23.551,1
76,1.7526,37.2,0
69,1.5748,37.2,1
72,1.6764,20.116,1
83,1.7018,11.22,1
83,1.6256,2.916,1
74,1.5748,75.69109781,1
77,1.8161,75.69109781,0
78,1.778,38.856,0
73,1.651,38.856,1
79,1.8542,23.04932184,0
70,1.5748,23.04932184,1
76,1.6637,26.358,0
71,1.6129,26.358,1
81,1.7272,40.12,0
81,1.5748,40.12,1
75,1.7018,59.208,0
70,1.651,59.208,1
72,1.6764,22.88454664,1
81,1.6002,152.336,1
85,1.6256,152.336,0
79,1.91135,66.47110932,0
79,1.6637,66.47110932,1
82,1.6002,38.412,1
84,1.8034,38.412,0
72,1.6891,51.836,1
84,1.8288,51.836,0
74,1.6764,51.06,1
75,1.6002,41.024,1
74,1.778,41.024,0
76,1.778,17.57153776,0
81,1.5494,19.061,1
73,1.6256,90.30671185,1
76,1.778,128.6,0
74,1.6764,128.6,1
73,1.6764,21.47175532,1
82,1.6256,32.292,1
81,1.5748,9.87,1
89,1.524,19.0,1
78,1.6256,30.048,1
88,1.651,30.048,0
68,1.6256,41.424,1
77,1.5494,96.8005695,1
79,1.5621,14.46892668,1
75,1.5494,39.536,1
67,1.54305,55.798,1
78,1.6256,49.58,0
75,1.5748,100.9,1
68,1.6002,100.9,1
79,1.7018,30.025,1
78,1.8288,30.025,0
60,1.7018,2.0,1
72,1.7526,75.8,1
79,1.778,216.7337442,0
79,1.7272,216.7337442,1
75,1.7526,129.8,0
75,1.7272,129.8,1
77,1.7018,36.977,0
70,1.6764,36.977,1
81,1.524,6.002,1
74,1.8034,71.91,1
72,1.7018,27.6,0
55,1.6002,47.4,1
61,1.6256,602.6853632,1
74,1.5494,266.5,1
78,1.5748,34.36337786,1
77,1.5875,81.804,1
75,1.7399,81.804,0
74,1.8542,32.4,0
74,1.6764,32.4,1
82,1.651,76.44,1
82,1.8034,76.44,0
78,1.7018,104.88,0
69,1.6256,104.88,1
58,1.6764,10.044,1
80,1.8034,52.136,0
65,1.651,64.00036,0
77,1.5748,18.23507327,1
72,1.524,28.164,1
74,1.5748,20.028,1
67,1.7272,20.028,0
73,1.778,21.5,0
63,1.7526,21.5,1
69,1.7018,158.536503,1
76,1.6764,0.0,0
66,1.5494,0.0,1
80,1.6256,85.97883835,0
81,1.4732,26.4,1
73,1.8034,50.412,0
72,1.651,50.412,1
74,1.6256,256.796,1
74,1.7526,256.796,0
73,1.8161,194.5463579,0
79,1.6764,79.404,1
74,1.524,51.6,1
78,1.8288,34.368,0
57,1.778,94.12,1
79,1.6002,14.076,1
79,1.6002,27.012,1
81,1.524,16.8,1
75,1.524,24.8,1
85,1.7272,40.6,1
72,1.651,46.416,1
76,1.6129,14.516,1
77,1.7399,107.8892115,0
78,1.6256,107.8892115,1
84,1.6256,162.84,0
71,1.524,162.84,1
81,1.6764,10.116,0
78,1.6637,13.5,1
73,1.5748,25.432,1
50,1.5494,15.776,1
82,1.6764,19.512,1
87,1.6002,19.512,0
74,1.9558,45.72,0
76,1.651,37.148,1
67,1.6129,209.2674474,1
76,1.4986,133.4782477,1
69,1.778,13.212,0
83,1.5494,13.2,1
78,1.9558,34.12574153,0
79,1.778,34.12574153,1
79,1.6002,4.792,1
73,1.7018,20.832,0
76,1.6002,20.832,1
79,1.6256,81.0,1
68,1.5494,34.63795639,1
77,1.8034,9.492,1
80,1.7272,32.412,0
72,1.7272,270.16,0
64,1.524,270.16,1
80,1.778,95.47814328,0
67,1.524,95.47814328,1
77,1.8034,17.124,0
72,1.6764,12.24,0
75,1.651,46.6,1
76,1.8034,21.6,0
64,1.6256,4.872,1
75,1.7018,31.8,0
64,1.524,31.8,1
76,1.651,18.64901357,1
81,1.524,27.04346326,1
79,1.6002,17.33001455,1
79,1.4732,38.604,1
84,1.6764,38.604,0
73,1.8288,29.948,0
76,1.5494,21.6,1
71,1.7526,51.71698327,1
69,1.5748,81.4,1
72,1.79705,81.4,0
72,1.6256,63.892,1
74,1.7907,28.8,0
80,1.8288,94.96,0
79,1.651,94.96,1
73,1.7018,20.084,1
75,1.778,23.47,0
75,1.7018,23.47,1
88,1.6764,37.61030674,1
68,1.6002,10.02,1
76,1.7272,44.65632384,0
77,1.6002,44.65632384,1
74,1.6383,87.768,0
68,1.6637,87.768,1
75,1.7018,20.76,0
77,1.6002,20.76,1
81,1.6637,35.00018336,1
82,1.778,35.00018336,0
79,1.5748,27.432,1
83,1.778,27.432,0
89,1.6764,31.863,0
73,1.7272,113.6352,1
72,1.8288,113.6352,0
75,1.6256,27.4981785,1
75,1.6764,50.544,0
75,1.5621,50.544,1
75,1.651,19.13582379,1
75,1.651,78.84,0
69,1.6256,78.84,1
75,1.7018,18.9678,1
73,1.778,175.5142701,0
72,1.6002,175.5142701,1
74,1.6256,72.564,1
68,1.5748,72.564,1
65,1.6002,137.07116,1
69,1.524,137.07116,1
73,1.651,244.42916,1
75,1.778,244.42916,0
83,1.8288,43.6,0
79,1.5748,43.6,1
73,1.8288,64.56,0
71,1.5875,64.56,1
73,1.8034,32.0,0
71,1.651,32.0,1
69,1.651,81.54179262,1
74,1.6764,81.54179262,0
79,1.7018,257.976,0
79,1.5748,257.976,1
76,1.7018,236.4630787,0
77,1.5494,236.4630787,1
83,1.778,21.644,0
72,1.7526,250.6,0
68,1.651,250.6,1
76,1.8034,20.0,0
84,1.7145,8.4,0
74,1.778,45.52,0
73,1.6129,45.52,1
75,1.8288,49.0,0
78,1.6256,123.332,1
83,1.7272,123.332,0
79,1.8669,32.597,0
78,1.524,32.597,1
72,1.8288,47.932,0
69,1.7018,47.932,1
84,1.651,15.2672,0
73,1.7399,127.8,0
72,1.7145,46.36305684,0
79,1.5621,44.32,1
74,1.5494,20.09243974,1
75,1.8288,104.6541552,0
73,1.8542,34.812,0
72,1.651,34.812,1
78,1.6256,12.0,1
64,1.6891,13.392,1
74,1.6764,179.12,0
70,1.6256,179.12,1
73,1.7018,1.572,0
72,1.6002,11.18424,1
75,1.8542,57.552,0
62,1.7145,57.552,1
80,1.651,20.4,1
72,1.5494,53.35547131,1
73,1.6002,19.78590603,1
85,1.5748,18.0,1
82,1.6764,15.99179242,1
74,1.5494,19.442,1
76,1.7272,27.084,0
69,1.6764,143.62,1
72,1.7272,75.26,0
75,1.651,75.84,0
66,1.5494,75.84,1
81,1.6764,21.476,1
72,1.7018,89.472,1
76,1.6002,20.4,1
83,1.6256,41.468,1
87,1.8288,41.468,0
65,1.5494,11.4,1
77,1.778,19.2,0
77,1.8542,14.352,0
80,1.7526,61.0,0
73,1.6256,54.168,1
77,1.8796,26.508,0
82,1.8034,29.82,0
74,1.6764,15.67408779,0
54,1.6256,0.818,1
76,1.7272,22.64521733,0
74,1.5494,22.64521733,1
76,1.8796,83.6,0
74,1.4986,83.6,1
76,1.778,20.116,0
75,1.5621,11.28,1
75,1.8288,11.28,0
73,1.7526,118.336,0
62,1.524,41.436,1
39,1.8034,41.436,0
74,1.5494,32.41,1
77,1.7272,32.41,0
83,1.8034,5.852,0
82,1.4986,25.896,1
83,1.651,25.896,0
73,1.7018,24.204,0
74,1.6002,24.204,1
73,1.7526,63.428,0
71,1.7272,63.428,1
81,1.5748,23.4,1
82,1.5748,204.705036,1
81,1.7526,204.705036,0
67,1.4732,101.112,1
70,1.7018,101.112,0
76,1.6764,144.3669056,1
64,1.524,56.0,1
73,1.6256,48.012,1
73,1.8288,83.98,0
56,1.5494,83.98,1
73,1.6764,16.8,1
79,1.6002,47.928,1
82,1.7272,47.928,0
72,1.7526,37.152,0
61,1.5748,37.152,1
84,1.8542,27.65084403,0
63,1.6256,1.617,1
80,1.5748,10.8,1
72,1.7526,78.624,0
72,1.651,78.624,1
74,1.6256,16.801,1
78,1.8288,24.483,0
76,1.778,18.228,0
64,1.5875,43.132,1
75,1.8034,97.5,0
69,1.6256,97.5,1
74,1.5494,340.4,1
71,1.7018,340.4,0
78,1.524,26.688,1
79,1.524,15.0,1
73,1.6002,33.9,1
80,1.6764,33.9,0
74,1.7018,55.207,1
75,1.7018,49.0,1
83,1.8288,55.092,0
79,1.651,55.092,1
77,1.8288,28.776,0
65,1.5748,28.776,1
81,1.8161,65.096,0
81,1.7145,65.096,1
73,1.6256,22.575,1
73,1.8034,18.0,0
73,1.8288,473.02812,0
60,1.6002,473.02812,1
78,1.8288,48.896,0
81,1.6764,34.944,1
78,1.5748,26.263,1
81,1.7272,45.492,1
65,1.5875,19.44,1
75,1.651,11.748,1
76,1.4732,15.61211415,1
78,1.7272,21.6,0
81,1.5748,18.864,1
77,1.651,156.2,0
73,1.4986,156.2,1
81,1.7272,286.796,0
77,1.6256,286.796,1
81,1.6764,57.362,0
79,1.6002,57.362,1
78,1.778,137.1,0
60,1.5748,137.1,1
80,1.8542,131.76,0
75,1.6256,68.7086,1
77,1.6764,8.74,1
86,1.651,14.424,0
76,1.5494,48.251,1
74,1.6002,38.4,1
77,1.7018,38.4,0
74,1.8034,57.294,0
82,1.6764,20.124,1
79,1.6764,78.06,0
78,1.6002,78.06,1
82,1.778,54.16534845,0
66,1.6256,54.16534845,1
73,1.778,72.892,0
68,1.5748,72.892,1
80,1.6002,24.455,1
80,1.778,24.455,0
74,1.6764,7.2,0
70,1.5748,7.2,1
65,1.5748,72.0,1
79,1.5748,70.34868839,1
83,1.7272,70.34868839,0
73,1.778,0.57,0
73,1.524,0.57,1
75,1.5494,20.4,1
67,1.8288,15.6,0
76,1.8542,105.15,0
81,1.6002,78.66,1
81,1.7272,78.66,0
61,1.6764,39.004,1
86,1.6002,25.5,1
74,1.524,20.4,1
77,1.7018,20.4,0
87,1.7272,15.12,0
76,1.6256,17.17212,1
81,1.6256,19.69284,1
76,1.651,16.8,1
76,1.7653,32.55233896,0
74,1.5748,277.7,1
82,1.6002,31.2,1
81,1.651,16.39053301,1
74,1.778,97.368,0
67,1.6002,97.368,1
81,1.5748,34.584,1
71,1.4732,16.08,1
71,1.5748,23.13907628,1
72,1.7018,70.188,1
82,1.6256,20.36376873,0
75,1.6764,20.36376873,1
74,1.651,97.008,0
70,1.5748,97.008,1
74,1.5367,9.072,1
82,1.7907,12.0,0
72,1.6002,98.6712,1
81,1.7018,98.6712,0
72,1.5875,23.872,1
75,1.778,65.1,0
74,1.5748,65.1,1
76,1.7272,42.1212,0
74,1.7526,38.39448508,0
73,1.6002,38.39448508,1
82,1.5621,111.72,1
83,1.778,47.304,0
69,1.7018,47.304,1
73,1.7526,15.6,1
75,1.7272,43.692,0
75,1.5621,43.692,1
83,1.651,16.92,1
73,1.5494,9.456,1
72,1.6256,12.312,1
79,1.7526,63.48264753,0
87,1.7526,36.01541688,0
74,1.6764,36.28,1
77,1.6256,89.86317549,1
85,1.8034,89.86317549,0
75,1.778,37.2,0
76,1.7272,50.8,0
74,1.7272,84.85639076,0
75,1.7907,128.508,0
66,1.7272,128.508,1
76,1.8796,89.14,0
78,1.6764,89.14,1
73,1.7272,85.292,0
71,1.6256,85.292,1
75,1.8669,398.9434577,0
75,1.6637,398.9434577,1
80,1.524,64.28992,1
83,1.778,64.28992,0
80,1.6764,12.036,1
83,1.8034,12.036,0
80,1.524,40.608,1
94,1.7526,40.608,0
75,1.778,332.4133142,0
73,1.5748,46.86,1
76,1.8288,46.86,0
80,1.6256,42.0,1
75,1.6256,82.972,0
68,1.524,82.972,1
73,1.8288,81.354,0
80,1.8796,32.592,0
77,1.6256,32.592,1
79,1.8034,22.05,0
77,1.8034,40.536,0
75,1.6256,40.536,1
83,1.6383,28.83,1
83,1.6256,72.13506963,1
74,1.8034,36.192,0
71,1.6764,36.192,1
77,1.8034,36.59,0
71,1.778,36.59,1
72,1.6256,36.658,1
78,1.7526,28.3288994,0
82,1.524,15.54,1
73,1.7018,110.8751259,1
81,1.7018,61.008,1
79,1.7907,61.008,0
84,1.8034,86.29126284,0
72,1.6764,4.152,0
69,1.6256,4.152,1
72,1.6002,16.788,1
81,1.778,108.0,0
82,1.6764,15.03405134,1
74,1.6002,6.468,1
82,1.651,46.395,1
81,1.7018,44.408,1
87,1.7526,44.408,0
78,1.7018,13.536,1
75,1.778,309.4734531,0
75,1.6256,309.4734531,1
80,1.6764,43.92,0
69,1.651,43.92,1
79,1.6764,206.1425766,0
73,1.6764,206.1425766,1
76,1.6256,12.924,1
89,1.8288,12.924,0
72,1.7272,28.494,0
72,1.651,28.494,1
78,1.7907,31.032,0
81,1.524,31.032,1
78,1.7018,16.92,1
76,1.524,0.0,1
80,1.6002,26.272,1
75,1.8034,19.836,0
80,1.6764,18.844,1
72,1.5748,9.564,1
72,1.8034,44.016,0
67,1.651,44.016,1
77,1.6764,24.808,1
76,1.8034,37.4,0
78,1.6002,52.59412,1
77,1.778,89.073,1
87,1.8796,89.073,0
74,1.6002,21.00256,1
71,1.7018,43.39513829,0
70,1.5875,43.39513829,1
77,1.8288,11.4,0
54,1.6002,11.4,1
76,1.8288,25.272,0
72,1.7526,25.272,0
73,1.4478,9.6,1
73,1.5748,12.948,1
77,1.524,9.48,1
81,1.524,18.504,0
75,1.7272,6.372,0
74,1.8034,23.230369,0
72,1.5494,23.230369,1
73,1.8288,115.0766955,0
72,1.6764,115.0766955,1
76,1.6002,73.548,1
84,1.7272,73.548,0
79,1.8288,72.48,0
63,1.7526,72.48,1
77,1.8034,599.327563,0
81,1.4732,50.051,1
79,1.6256,17.55211828,1
81,1.6383,13.2,1
80,1.7018,23.088,0
74,1.651,36.6,1
75,1.7526,36.6,0
81,1.651,39.06,1
80,1.7272,39.06,0
77,1.5494,14.4,1
83,1.4732,62.957,1
64,1.6383,26.4,1
72,1.8288,26.4,0
74,1.6637,92.74637882,0
74,1.5748,92.74637882,1
81,1.778,44.88,0
76,1.6764,44.88,1
75,1.6764,20.412,1
81,1.5494,12.252,1
73,1.8796,39.2,0
81,1.8034,60.6,0
64,1.5748,60.6,1
73,1.7018,55.6,0
69,1.4859,55.6,1
74,1.6002,18.75648,1
75,1.7018,18.75648,0
81,1.651,32.4,1
87,1.8288,32.4,0
82,1.5748,35.256,1
83,1.6764,24.6,1
76,1.7399,93.606,0
71,1.6256,93.606,1
81,1.4986,40.176,1
89,1.7018,40.176,0
71,1.9558,24.604,0
74,1.5748,81.444,1
77,1.7272,81.444,0
75,1.5748,21.0,1
73,1.8288,84.02065442,0
72,1.651,84.02065442,1
90,1.6002,19.494,1
81,1.651,41.4,1
74,1.6764,116.024,1
73,1.6764,62.3,1
81,1.7526,36.1,0
54,1.6129,36.1,1
73,1.8034,18.72,0
65,1.7018,17.988,1
77,1.7272,32.868,0
72,1.8288,25.172,0
69,1.8288,17.988,0
70,1.651,21.84476146,1
75,1.7018,19.308,0
71,1.5748,27.848,1
82,1.7018,117.4310221,0
64,1.778,64.832,1
74,1.7018,52.24052,1
69,1.6256,19.236,1
76,1.6764,24.01835817,0
74,1.905,34.184,0
69,1.6002,34.184,1
76,1.6764,101.722,1
82,1.8288,70.236,0
80,1.5494,70.236,1
71,1.6002,23.47248878,1
71,1.524,26.82265803,1
78,1.778,44.492,0
58,1.7018,1.0,1
74,1.778,13.416,0
73,1.5748,79.64812,1
57,1.8542,79.64812,0
74,1.70815,8.869,1
78,1.6002,19.344,1
73,1.7907,79.833,0
61,1.5748,79.833,1
77,1.6764,23.508,0
71,1.6002,23.508,1
77,1.8034,40.728,0
78,1.5748,40.728,1
81,1.651,8.4,0
83,1.8034,100.9693458,0
84,1.6256,100.9693458,1
78,1.778,34.88,0
69,1.6002,34.88,1
73,1.6764,96.316,0
64,1.524,96.316,1
74,1.5748,12.12,1
82,1.8288,466.612,0
75,1.7399,104.3383799,0
75,1.7272,114.4922665,1
60,1.6764,13.86174712,1
76,1.6256,54.0,1
77,1.7526,54.0,0
78,1.6256,32.736,1
82,1.7526,16.654,0
80,1.6002,10.452,1
74,1.8796,81.312,0
65,1.524,81.312,1
78,1.4986,13.176,1
77,1.5621,39.48,1
72,1.7018,63.376,0
69,1.6764,63.376,1
76,1.7526,15.888,0
75,1.651,16.308,1
81,1.5875,18.5403679,1
81,1.651,79.608,1
81,1.7272,33.72,0
80,1.6764,33.72,1
74,1.7526,19.2,0
55,1.7272,16.0,1
82,1.524,18.732,1
77,1.5748,128.1,1
85,1.8288,128.1,0
76,1.651,106.9804513,1
73,1.5875,75.625,1
77,1.7526,78.557,1
82,1.7526,16.8,0
76,1.7018,8.04,0
78,1.8542,58.316,0
81,1.651,5.376,0
82,1.6256,41.988,1
70,1.4478,17.487,1
70,1.651,81.136,1
70,1.5748,261.1470604,1
68,1.8161,261.1470604,0
79,1.778,119.4,0
78,1.4224,119.4,1
76,1.6764,21.8,1
77,1.6764,21.8,0
73,1.7526,68.388,0
70,1.4478,68.388,1
84,1.778,36.0,0
72,1.6764,13.065,1
76,1.6002,10.776,1
76,1.524,18.744,1
78,1.905,18.744,0
77,1.7526,16.2,1
81,1.9558,59.21192037,0
84,1.6764,59.21192037,1
78,1.6256,70.884,1
79,1.7526,70.884,0
78,1.6637,28.368,1
77,1.905,76.4,0
67,1.7018,76.4,1
72,1.7018,33.996,0
69,1.651,33.996,1
81,1.524,21.54,1
83,1.7526,21.54,0
75,1.778,69.876,0
